danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,chorus_hit,sections,popularity,genre,duration_ms
0.578,0.471,4,-7.27,1,0.0289,0.368,0.0,0.159,0.532,133.061,4,30.88059,13,1,pop,196707.0
0.704,0.854,10,-5.477,0,0.183,0.0185,0.0,0.148,0.688,92.988,4,41.51106,10,1,r&b,242587.0
0.162,0.836,9,-3.009,1,0.0473,0.000111,0.00457,0.174,0.3,86.964,4,65.32887,13,0,rock,338893.0
0.188,0.994,4,-3.745,1,0.166,7.39e-06,0.0784,0.192,0.333,148.44,4,58.59528,9,0,rock,255667.0
0.63,0.764,2,-4.353,1,0.0275,0.363,0.0,0.125,0.631,112.098,4,22.62384,10,1,pop,193760.0
0.726,0.837,11,-7.223,0,0.0965,0.373,0.268,0.136,0.969,135.347,4,28.29051,10,0,pop,192720.0
0.365,0.922,1,-2.644,1,0.071,0.00285,0.0,0.321,0.29,77.25,4,45.77202,4,0,latin,89427.0
0.726,0.631,11,-8.136,0,0.0334,0.22,0.0,0.193,0.746,124.711,4,35.59732,10,1,pop,239240.0
0.481,0.786,10,-5.654,1,0.0288,0.0538,0.0,0.0759,0.389,153.105,4,19.65701,11,1,r&b,253640.0
0.647,0.324,7,-9.679,1,0.0377,0.354,0.0,0.115,0.344,124.213,3,32.66343,16,0,r&b,314286.0
0.787,0.632,8,-3.487,1,0.137,0.103,6.78e-06,0.388,0.612,141.026,4,18.091,9,1,pop,198173.0
0.491,0.776,2,-3.887,1,0.0393,0.314,0.0,0.146,0.428,154.988,4,37.86861,9,1,pop,202547.0
0.455,0.737,1,-6.206,1,0.0272,0.00114,0.000487,0.195,0.206,94.028,4,62.77759,9,0,pop,224053.0
0.725,0.733,0,-6.66,1,0.0242,0.508,0.0,0.173,0.843,100.311,4,27.0663,8,1,pop,219827.0
0.497,0.421,2,-14.059,0,0.187,0.985,0.839,0.148,0.804,92.19,4,33.3613,15,0,pop,232719.0
0.509,0.942,11,-6.899,1,0.0628,0.000639,0.882,0.0788,0.163,169.96,4,34.78597,12,0,r&b,460080.0
0.708,0.728,7,-7.039,1,0.0298,0.011,2.26e-05,0.0556,0.704,119.881,4,33.81641,15,1,r&b,258640.0
0.518,0.916,3,-3.858,1,0.0454,0.000148,0.0,0.291,0.646,109.864,4,19.81215,10,1,latin,238880.0
0.395,0.248,1,-10.025,1,0.0519,0.979,0.0,0.177,0.324,85.174,3,34.50252,10,0,pop,207888.0
0.378,0.953,9,-3.632,1,0.138,0.000719,2.89e-05,0.0936,0.512,167.808,4,20.58661,12,0,latin,200347.0
0.9,0.593,10,-6.629,0,0.333,0.0554,0.0,0.0304,0.633,92.946,4,21.78144,9,1,rap,172933.0
0.329,0.812,2,-11.48,1,0.0872,0.0141,0.0786,0.0603,0.4,165.013,4,97.84874,9,0,rock,272880.0
0.389,0.598,4,-8.473,1,0.0363,0.782,0.948,0.0825,0.0396,140.002,4,22.35533,10,0,pop,226147.0
0.744,0.697,11,-5.063,0,0.197,0.0106,0.0,0.0842,0.767,149.28,4,42.63475,9,1,r&b,247413.0
0.723,0.785,5,-5.722,1,0.0302,0.0247,0.00347,0.26,0.816,128.03,4,64.24515,9,0,pop,209987.0
0.56,0.808,10,-6.725,1,0.0306,0.2,0.308,0.416,0.691,128.051,4,30.93391,11,0,pop,205827.0
0.643,0.391,10,-10.09,1,0.0296,0.622,1.38e-05,0.11,0.418,143.786,4,28.43124,12,1,pop,219933.0
0.735,0.732,10,-8.915,1,0.0699,0.572,2.61e-05,0.0997,0.656,117.58,4,45.59357,5,0,pop,116507.0
0.536,0.081,8,-20.968,1,0.0877,0.958,0.922,0.113,0.477,138.498,1,27.01863,8,0,pop,186973.0
0.587,0.88,4,-5.725,1,0.0324,0.0784,0.0,0.182,0.778,129.222,4,20.93198,10,1,r&b,246240.0
0.743,0.67,1,-4.547,0,0.0293,0.0108,0.0702,0.22,0.934,110.832,4,25.36994,12,1,r&b,243333.0
0.659,0.812,4,-7.499,0,0.0487,0.23,0.0,0.0951,0.888,83.013,4,25.46132,12,1,pop,235133.0
0.539,0.985,1,-7.354,1,0.126,0.00857,0.12,0.0792,0.127,162.065,4,25.11119,17,0,r&b,363000.0
0.891,0.714,4,-6.055,0,0.14,0.202,0.000234,0.0521,0.818,100.972,4,37.11249,12,1,r&b,267267.0
0.684,0.606,5,-7.268,0,0.0504,0.17,0.0,0.058,0.723,127.901,4,41.49527,13,1,r&b,275107.0
0.658,0.954,9,-5.376,1,0.0792,0.000891,9.8e-06,0.115,0.486,132.029,3,37.91539,18,0,r&b,411084.0
