iter	Logloss
0	0.6659181367
1	0.6349383862
2	0.6097383863
3	0.5893985254
4	0.5733413171
5	0.556776475
6	0.5400394442
7	0.5260597596
8	0.5134171229
9	0.5032708965
10	0.4941082561
11	0.4861387213
12	0.4769322608
13	0.4699919643
14	0.4645830051
15	0.4584100567
16	0.4521321767
17	0.4466088195
18	0.4422176473
19	0.4362888778
20	0.4320608858
21	0.4291476118
22	0.4258414836
23	0.421682848
24	0.4183197689
25	0.4164977607
26	0.4137191534
27	0.4107382025
28	0.4087920627
29	0.4064632986
30	0.4044914699
31	0.402207671
32	0.4001515229
33	0.3976657622
34	0.3959273863
35	0.3943392126
36	0.3931711852
37	0.3919616661
38	0.389874676
39	0.3884707529
40	0.3865866789
41	0.3853370805
42	0.3841173698
43	0.3829073927
44	0.3815340826
45	0.38039663
46	0.3793888056
47	0.3784839279
48	0.3775485136
49	0.376801854
50	0.3757003965
51	0.3744397286
52	0.3732890307
53	0.3724546164
54	0.3716558918
55	0.3705357688
56	0.3694349221
57	0.3686551684
58	0.3680532144
59	0.3674994702
60	0.3665845536
61	0.3652804472
62	0.3646862419
63	0.3640909296
64	0.3633693864
65	0.3624184366
66	0.3617231167
67	0.3610114216
68	0.3604804272
69	0.3600636018
70	0.3591620068
71	0.3583653052
72	0.3575492129
73	0.3569716882
74	0.3563967592
75	0.3557275482
76	0.3549578334
77	0.3542420159
78	0.3535058533
79	0.3530284507
80	0.3524640186
81	0.3517240771
82	0.3510515453
83	0.3506214364
84	0.3500324223
85	0.3495942594
86	0.348951768
87	0.3483391261
88	0.3477345765
89	0.3473588229
90	0.3467927495
91	0.3462014452
92	0.3458661908
93	0.3454145535
94	0.3447468312
95	0.3442138137
96	0.3438351973
97	0.3433988284
98	0.3431379689
99	0.3428959659
100	0.3424231056
101	0.3421011729
102	0.3417500012
103	0.3414051659
104	0.3410655982
105	0.3406085026
106	0.3402766835
107	0.3399883793
108	0.3394650572
109	0.3389524611
110	0.3385032668
111	0.3382069848
112	0.3377690891
113	0.3374326514
114	0.3371383543
115	0.3366557605
116	0.3360804498
117	0.3356935121
118	0.3351436231
119	0.3347747402
120	0.3344755954
121	0.3341243093
122	0.3335527393
123	0.3332069879
124	0.3329534572
125	0.3326558011
126	0.3321007209
127	0.3316484729
128	0.3311486641
129	0.3308303957
130	0.3303944085
131	0.3299494511
132	0.3296932867
133	0.3292353513
134	0.3289032269
135	0.328708861
136	0.3283677665
137	0.3279636519
138	0.3276351919
139	0.327260278
140	0.3268117326
141	0.3266582477
142	0.3261617216
143	0.3257534845
144	0.3253759369
145	0.3249535003
146	0.3245604934
147	0.3241593944
148	0.3238868165
149	0.3235158342
150	0.3232450121
151	0.3230067117
152	0.3227539063
153	0.3225996961
154	0.3221577161
155	0.3217459673
156	0.3214375852
157	0.3211205001
158	0.320715813
159	0.3203928878
160	0.320115424
161	0.3197530683
162	0.3193324449
163	0.3188514161
164	0.3185089092
165	0.318195374
166	0.3178905418
167	0.3175675402
168	0.3171918629
169	0.3167020739
170	0.316396192
171	0.3160170221
172	0.3155355734
173	0.3153375622
174	0.314977325
175	0.3147025141
176	0.314342735
177	0.313998644
178	0.3136362311
179	0.3133296048
180	0.3130256123
181	0.3127628443
182	0.3123456944
183	0.3120960954
184	0.311777827
185	0.3113762126
186	0.3112083755
187	0.3109287741
188	0.3106294767
189	0.3103408289
190	0.3099778815
191	0.3097029561
192	0.3093404859
193	0.3089296151
194	0.3085324095
195	0.3080832533
196	0.3077279211
197	0.3074320208
198	0.3070818798
199	0.3066968506
