iter	Passed	Remaining
0	6	1226
1	11	1186
2	17	1172
3	23	1141
4	27	1089
5	32	1056
6	37	1020
7	41	996
8	45	973
9	50	963
10	56	963
11	61	963
12	67	965
13	72	963
14	78	968
15	84	970
16	89	962
17	95	962
18	101	963
19	106	955
20	112	955
21	116	946
22	121	936
23	126	924
24	130	914
25	135	903
26	139	893
27	144	887
28	150	887
29	154	877
30	159	868
31	163	858
32	168	851
33	173	847
34	178	840
35	182	832
36	187	825
37	191	816
38	197	813
39	202	811
40	208	809
41	214	805
42	219	802
43	225	798
44	230	793
45	234	786
46	239	779
47	244	773
48	248	766
49	253	759
50	257	753
51	262	745
52	266	739
53	270	732
54	275	726
55	279	719
56	284	713
57	289	708
58	295	705
59	301	702
60	305	696
61	310	691
62	315	686
63	321	682
64	327	679
65	332	674
66	336	668
67	341	662
68	346	657
69	350	650
70	354	644
71	359	639
72	365	636
73	371	631
74	375	626
75	380	620
76	385	615
77	389	609
78	394	603
79	398	598
80	404	594
81	409	589
82	413	583
83	418	577
84	422	571
85	426	565
86	432	561
87	438	558
88	443	552
89	447	546
90	451	541
91	457	537
92	462	532
93	467	526
94	472	521
95	477	516
96	483	513
97	488	508
98	494	504
99	499	499
100	503	493
101	508	488
102	512	483
103	517	477
104	521	471
105	525	466
106	530	460
107	535	455
108	539	450
109	544	445
110	549	440
111	554	436
112	560	431
113	565	426
114	570	421
115	577	418
116	582	412
117	587	408
118	593	404
119	599	399
120	604	394
121	609	389
122	615	385
123	621	380
124	626	376
125	632	371
126	638	366
127	643	361
128	649	357
129	654	352
130	660	348
131	665	342
132	669	337
133	674	332
134	678	326
135	684	321
136	689	316
137	694	312
138	700	307
139	705	302
140	710	297
141	716	292
142	721	287
143	726	282
144	731	277
145	735	272
146	741	267
147	745	262
148	751	257
149	756	252
150	762	247
151	767	242
152	772	237
153	776	232
154	782	227
155	787	222
156	792	217
157	798	212
158	804	207
159	809	202
160	813	196
161	817	191
162	822	186
163	828	181
164	833	176
165	837	171
166	843	166
167	849	161
168	855	156
169	860	151
170	865	146
171	871	141
172	877	136
173	881	131
174	887	126
175	893	121
176	898	116
177	904	111
178	909	106
179	915	101
180	921	96
181	926	91
182	931	86
183	936	81
184	940	76
185	945	71
186	949	66
187	954	60
188	959	55
189	963	50
190	968	45
191	974	40
192	979	35
193	984	30
194	989	25
195	995	20
196	1001	15
197	1006	10
198	1012	5
199	1018	0
