,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SGD,GaussianNB,DecisionTree
danceability,0.10423625465488699,0.1062823131830193,0.11251907948278714,0.10134904711388247,0.08953859571491465,0.05867308922040638,0.010511075423168623,0.0007224882062880789,0.11323920517234164
energy,0.0797321571559773,0.08204343477578509,0.05457299555255853,0.05196820003307199,0.014415090110938113,0.01878999557329421,0.008452857272721449,0.00036749879464670506,0.06122261018579526
key,0.026258315328268184,0.03831897334662816,0.004967891228973351,0.00750796251436196,0.0,0.08133200517975946,0.028152938391387113,0.0010301969346397063,0.004662503806397625
loudness,0.07264116529766408,0.06311005230411719,0.03225789357638019,0.06526627948834332,0.09762957371595157,0.41220363286845463,0.152674991696813,0.4304893612462879,0.019882259990479812
mode,0.009754759121516864,0.015675790272633564,0.012851627403290388,0.023535001151049752,0.0,0.04324660114244604,0.007948020134496046,0.00047292712291797717,0.011031524477026954
speechiness,0.07359881742472119,0.0550923129078377,0.07369880725154604,0.07867073442768349,0.04842973345491586,0.0031524505834518825,0.00013382528259047084,0.00013594203441756397,0.06250273008305267
acousticness,0.11448503728519156,0.11467339407146457,0.13646642113172724,0.20621402395458283,0.2020902480013016,0.039967877980427495,0.00930136580081149,0.0006154540151660093,0.14056720388916943
instrumentalness,0.17994226702059318,0.2068249843469254,0.40163160958480054,0.26636831340527384,0.27751529694276933,0.09295356258659036,0.015507623570908353,0.0033930917569922224,0.44316345852564065
liveness,0.048940967420463624,0.04185447527778124,0.012031101712410529,0.00890630501886806,0.0,0.007363467034536211,0.00027933403034489094,7.55233524542022e-05,0.00863347050709974
valence,0.0724074880498359,0.06960597145718558,0.0452794337488617,0.051712853929407436,0.04898089602813701,0.05652860133283474,0.011192163789476057,0.0006314194084393716,0.03541354909216809
tempo,0.05217764374499929,0.042861782409761684,0.02259695813093902,0.025471092247690175,0.0,0.025242530334579363,0.6415355056101592,0.010217642270205052,0.02000497659064076
duration_ms,0.07454124791481173,0.058638999494540094,0.06641138559436648,0.0830620306902425,0.22140056603107186,3.6764590372600813e-06,0.010655803155347554,0.4230392147651069,0.05855770981762406
time_signature,0.007349103774318133,0.017072673164395397,0.0036496266363626566,0.005851929156339273,0.0,0.09242233511636348,0.023390442285029782,7.845618117524216e-05,0.004346421383676973
chorus_hit,0.048015305650261395,0.04001664849985002,0.010891743799738753,0.006936981282768953,0.0,0.008927914178153732,0.06810966648062754,0.043481571971515205,0.009427302356857242
sections,0.035919470156490496,0.047928194488075095,0.010173425165257561,0.01717924558643383,0.0,0.05919226040966483,0.012154387076118428,0.08524921193974802,0.007345074122028982
